Year,Type,Literacy,Percentage,
1820,Illiterate,8795.331,87.95331,
1820,Literate,1204.6689,12.046689,
1870,Illiterate,8125.9445,81.259445,
1870,Literate,1874.0555,18.740555,
1880,Illiterate,8037.1544,80.371544,
1880,Literate,1962.8456,19.628456,
1890,Illiterate,7948.364,79.48364,
1890,Literate,2051.6357,20.516357,
1900,Illiterate,7859.574,78.59574,
1900,Literate,2140.4259,21.404259,
1910,Illiterate,7355.44,73.5544,
1910,Literate,2644.5602,26.445602,
1920,Illiterate,6837.684,68.37684,
1920,Literate,3162.3163,31.623163,
1930,Illiterate,6747.237,67.47237,
1930,Literate,3252.763,32.52763,
1940,Illiterate,5812.0777,58.120777,
1940,Literate,4187.9223,41.879223,
1950,Illiterate,6404.062,64.04062,
1950,Literate,3595.9377,35.959377,
1960,Illiterate,5837.9623,58.379623,
1960,Literate,4162.0377,41.620377,
1970,Illiterate,4437.7384,44.377384,
1970,Literate,5562.2616,55.622616,
1980,Illiterate,4394.7437,43.947437,
1980,Literate,5605.2563,56.052563,
1990,Illiterate,3174.9153,31.749153,
1990,Literate,6825.085,68.25085,
2000,Illiterate,1921.5118,19.215118,
2000,Literate,8078.488,80.78488,
2010,Illiterate,1733.5533,17.335533,
2010,Literate,8266.447,82.66447,
2011,Illiterate,1356.843422,13.56843422,
2011,Literate,8643.156634,86.43156634,
2012,Illiterate,1837.416715,18.37416715,
2012,Literate,8162.583263,81.62583263,
2013,Illiterate,1653.36861,16.5336861,
2013,Literate,8346.631435,83.46631435,
2014,Illiterate,1559.706666,15.59706666,
2014,Literate,8440.293364,84.40293364,
2015,Illiterate,1516.247084,15.16247084,
2015,Literate,8483.752923,84.83752923,
2016,Illiterate,1212.177824,12.12177824,
2016,Literate,8787.822217,87.87822217,
2017,Illiterate,1645.195277,16.45195277,
2017,Literate,8354.80475,83.5480475,
2018,Illiterate,1647.627954,16.47627954,
2018,Literate,8352.372034,83.52372034,
2019,Illiterate,1048.015871,10.48015871,
2019,Literate,8951.984154,89.51984154,
2020,Illiterate,1320.310108,13.20310108,
2020,Literate,8679.6899,86.796899,
2021,Illiterate,1649.270793,16.49270793,
2021,Literate,8350.729227,83.50729227,
